Player,Tm,Age,G,GS,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,Player-additional,ProBowl,AllPro,Year,G_-1_year,GS_-1_year,Tgt_-1_year,Rec_-1_year,Yds_-1_year,TD_-1_year,G_-2_year,GS_-2_year,Tgt_-2_year,Rec_-2_year,Yds_-2_year,TD_-2_year,Rnd,Pick,Pos,YrsPlayed
J.D. McKissic,WAS,27,16,7,110,80,589,2,32.0,86,1.1,503,6.3,1.7,4,20.0,2,1.8,3,79.7,McKiJ.00,0,0,2020,16.0,3.0,42.0,34.0,233.0,1.0,,,,,,,8.0,260.0,WR,4
Hunter Henry,LAC,26,14,14,93,60,613,4,35.0,387,6.5,226,3.8,8.0,3,20.0,2,2.2,1,93.2,HenrHu00,0,0,2020,12.0,12.0,76.0,55.0,652.0,5.0,,,,,,,2.0,35.0,TE,4
A.J. Green,CIN,32,16,14,104,47,523,2,34.0,437,9.3,86,1.8,13.7,2,23.5,3,2.9,3,55.1,GreeA.00,0,0,2020,,,,,,,9.0,9.0,77.0,46.0,694.0,6.0,1.0,4.0,WR,9
Rob Gronkowski,TAM,31,16,16,77,45,623,7,29.0,377,8.4,246,5.5,11.0,1,45.0,2,2.6,2,104.0,GronRo00,0,0,2020,,,,,,,13.0,11.0,72.0,47.0,682.0,3.0,2.0,42.0,TE,10
Travis Fulgham,PHI,25,13,8,67,38,539,4,26.0,439,11.6,100,2.6,12.0,3,12.7,2,3.0,1,96.5,FulgTr00,0,0,2020,,,,,,,16.0,10.0,17.0,10.0,127.0,0.0,6.0,184.0,WR,1
Braxton Berrios,NYJ,25,16,2,55,37,394,3,19.0,178,4.8,216,5.8,7.6,2,18.5,3,5.5,1,98.6,BerrBr00,0,0,2020,16.0,0.0,13.0,6.0,115.0,0.0,,,,,,,6.0,210.0,WR,2
Jerick McKinnon,SFO,28,16,4,46,33,253,1,12.0,75,2.3,178,5.4,3.4,1,33.0,2,4.3,3,64.9,McKiJe00,0,0,2020,,,,,,,,,,,,,3.0,96.0,RB,6
Cam Sims,WAS,24,16,10,48,32,477,1,18.0,228,7.1,249,7.8,10.9,5,6.4,1,2.1,3,79.9,SimsCa00,0,0,2020,7.0,1.0,3.0,2.0,27.0,0.0,,,,,,,8.0,260.0,WR,2
Isaiah Ford,MIA,24,10,1,44,28,276,0,18.0,208,7.4,68,2.4,9.2,0,0.0,1,2.3,2,62.3,FordIs00,0,0,2020,8.0,0.0,35.0,23.0,244.0,0.0,,,,,,,7.0,237.0,WR,2
Jalen Guyton,LAC,23,16,9,55,28,511,3,18.0,332,11.9,179,6.4,16.3,1,28.0,5,9.1,2,86.2,GuytJa01,0,0,2020,,,,,,,16.0,10.0,14.0,8.0,106.0,1.0,8.0,260.0,WR,1
Jordan Reed,SFO,30,10,1,46,26,231,4,16.0,147,5.7,84,3.2,8.0,2,13.0,3,6.5,1,90.0,ReedJo02,0,0,2020,,,,,,,13.0,8.0,84.0,54.0,558.0,2.0,3.0,85.0,TE,7
Boston Scott,PHI,25,16,4,36,25,212,1,8.0,31,1.2,181,7.2,2.6,1,25.0,0,0.0,0,93.7,ScotBo02,0,0,2020,11.0,2.0,26.0,24.0,204.0,0.0,,,,,,,6.0,201.0,RB,2
Richard Rodgers,PHI,28,14,4,31,24,345,2,16.0,250,10.4,95,4.0,9.8,1,24.0,0,0.0,0,134.5,RodgRi00,0,0,2020,,,,,,,7.0,0.0,1.0,1.0,7.0,0.0,3.0,98.0,TE,6
Ray McCloud,PIT,24,16,2,22,20,77,0,3.0,-28,-1.4,105,5.3,-1.5,0,0.0,0,0.0,0,81.2,McClRa00,0,0,2020,,,,,,,10.0,1.0,6.0,5.0,36.0,0.0,6.0,187.0,WR,2
Chad Hansen,HOU,25,5,2,24,17,236,1,11.0,197,11.6,39,2.3,12.2,0,0.0,1,4.2,0,116.0,HansCh00,0,0,2020,,,,,,,,,,,,,4.0,141.0,WR,3
Cedrick Wilson Jr.,DAL,25,16,0,28,17,189,2,10.0,76,4.5,113,6.6,8.7,1,17.0,3,10.7,1,89.7,WilsCe01,0,0,2020,6.0,0.0,8.0,5.0,46.0,0.0,,,,,,,6.0,208.0,WR,2
Le'Veon Bell,2TM,28,11,4,20,16,138,0,7.0,2,0.1,136,8.5,0.5,2,8.0,1,5.0,0,95.4,BellLe00,0,0,2020,15.0,15.0,78.0,66.0,461.0,1.0,,,,,,,2.0,48.0,RB,7
Mack Hollins,MIA,27,16,2,25,16,176,1,7.0,147,9.2,29,1.8,9.6,0,0.0,2,8.0,0,98.1,HollMa00,0,0,2020,16.0,3.0,23.0,10.0,125.0,0.0,,,,,,,4.0,118.0,WR,3
Noah Brown,DAL,24,16,1,24,14,154,0,6.0,107,7.6,47,3.4,10.3,0,0.0,0,0.0,0,77.4,BrowNo00,0,0,2020,,,,,,,8.0,2.0,8.0,5.0,54.0,0.0,7.0,239.0,WR,3
Pharaoh Brown,HOU,26,13,9,16,14,163,2,9.0,87,6.2,76,5.4,7.9,4,3.5,0,0.0,0,148.7,BrowPh01,0,0,2020,9.0,6.0,3.0,2.0,27.0,0.0,,,,,,,8.0,260.0,TE,3
Christian Blake,ATL,24,16,0,18,13,141,0,6.0,115,8.8,26,2.0,9.6,0,0.0,1,5.6,0,94.9,BlakCh00,0,0,2020,9.0,3.0,24.0,11.0,91.0,0.0,,,,,,,8.0,260.0,WR,2
Ryan Izzo,NWE,25,12,12,20,13,199,0,6.0,131,10.1,68,5.2,10.3,1,13.0,2,10.0,1,76.9,IzzoRy00,0,0,2020,6.0,4.0,9.0,6.0,114.0,1.0,,,,,,,7.0,250.0,TE,2
Byron Pringle,KAN,27,13,3,17,13,160,1,9.0,92,7.1,68,5.2,10.2,2,6.5,0,0.0,0,124.6,PrinBy00,0,0,2020,16.0,0.0,16.0,12.0,170.0,1.0,,,,,,,8.0,260.0,WR,2
Mike Thomas,CIN,26,14,0,21,13,132,1,7.0,104,8.0,28,2.2,8.6,1,13.0,2,9.5,0,95.7,ThomMi04,0,0,2020,16.0,0.0,5.0,2.0,14.0,0.0,,,,,,,6.0,206.0,WR,4
Jason Witten,LVR,38,16,7,17,13,69,2,8.0,49,3.8,20,1.5,5.4,0,0.0,0,0.0,0,121.9,WittJa00,0,0,2020,16.0,16.0,83.0,63.0,529.0,4.0,,,,,,,3.0,69.0,TE,17
Cameron Batson,TEN,25,12,1,13,12,100,1,7.0,57,4.8,43,3.6,6.2,0,0.0,0,0.0,0,124.4,BatsCa00,0,0,2020,,,,,,,11.0,2.0,11.0,8.0,82.0,0.0,8.0,260.0,WR,2
Jeremy McNichols,TEN,25,16,0,17,12,55,0,0.0,4,0.3,51,4.3,0.5,0,0.0,1,5.9,0,74.4,McNiJe00,0,0,2020,,,,,,,,,,,,,5.0,162.0,RB,3
Brandon Powell,ATL,25,15,1,18,12,69,2,5.0,35,2.9,34,2.8,4.6,0,0.0,1,5.6,0,110.6,PoweBr00,0,0,2020,,,,,,,6.0,1.0,17.0,11.0,129.0,0.0,8.0,260.0,WR,2
Jace Sternberger,GNB,24,12,0,15,12,114,1,6.0,48,4.0,66,5.5,6.9,0,0.0,1,6.7,0,120.6,SterJa00,0,0,2020,,,,,,,16.0,10.0,18.0,11.0,143.0,1.0,3.0,75.0,TE,1
C.J. Board,NYG,27,14,4,16,11,101,0,6.0,68,6.2,33,3.0,10.0,0,0.0,0,0.0,0,85.7,BoarC.00,0,0,2020,4.0,0.0,4.0,2.0,31.0,0.0,,,,,,,8.0,260.0,WR,2
Samaje Perine,CIN,25,16,1,12,11,66,0,4.0,-23,-2.1,89,8.1,-1.8,3,3.7,0,0.0,0,89.6,PeriSa00,0,0,2020,,,,,,,5.0,0.0,4.0,3.0,5.0,0.0,4.0,114.0,RB,3
De'Michael Harris,IND,22,7,0,10,10,79,0,3.0,16,1.6,63,6.3,1.6,0,0.0,0,0.0,0,99.6,HarrDe09,0,0,2020,,,,,,,,,,,,,8.0,260.0,WR,-1
Dare Ogunbowale,JAX,26,14,2,20,10,54,0,4.0,-9,-0.9,63,6.3,0.9,0,0.0,2,10.0,1,35.4,OgunDa00,0,0,2020,16.0,0.0,46.0,35.0,286.0,0.0,,,,,,,8.0,260.0,RB,3
Trent Taylor,SFO,26,12,1,21,10,86,0,5.0,43,4.3,43,4.3,5.6,0,0.0,0,0.0,1,39.0,TaylTr02,0,0,2020,,,,,,,14.0,0.0,41.0,26.0,215.0,1.0,5.0,177.0,WR,3
Kalif Raymond,TEN,26,15,3,15,9,187,0,7.0,149,16.6,38,4.2,17.5,0,0.0,2,13.3,1,76.2,RaymKa00,0,0,2020,8.0,1.0,12.0,9.0,170.0,1.0,,,,,,,8.0,260.0,WR,4
Stephen Anderson,LAC,27,16,3,11,8,106,0,7.0,26,3.3,80,10.0,4.0,2,4.0,0,0.0,0,102.8,AndeSt01,0,0,2020,,,,,,,,,,,,,8.0,260.0,TE,4
Darrell Daniels,ARI,26,12,8,11,8,92,1,4.0,35,4.4,57,7.1,6.1,1,8.0,1,9.1,0,127.8,DaniDa02,0,0,2020,11.0,0.0,3.0,1.0,4.0,0.0,,,,,,,8.0,260.0,TE,3
Troy Fumagalli,DEN,25,8,0,15,8,80,1,6.0,20,2.5,60,7.5,7.3,0,0.0,0,0.0,3,51.4,FumaTr00,0,0,2020,11.0,5.0,9.0,6.0,38.0,1.0,,,,,,,5.0,156.0,TE,2
Ryan Nall,CHI,25,16,0,9,8,67,1,5.0,20,2.5,47,5.9,2.2,1,8.0,0,0.0,0,134.7,NallRy00,0,0,2020,,,,,,,16.0,10.0,10.0,7.0,57.0,0.0,8.0,260.0,RB,1
Troymaine Pope,LAC,27,6,0,10,8,42,0,1.0,-2,-0.3,44,5.5,-1.6,1,8.0,1,10.0,0,84.2,PopeTr00,0,0,2020,14.0,0.0,3.0,2.0,14.0,1.0,,,,,,,8.0,260.0,RB,4
Jaydon Mickens,TAM,26,10,0,10,7,58,0,6.0,27,3.9,31,4.4,7.3,0,0.0,0,0.0,0,84.6,MickJa01,0,0,2020,,,,,,,,,,,,,8.0,260.0,WR,3
Equanimeous St. Brown,GNB,24,12,1,13,7,117,1,6.0,58,8.3,59,8.4,12.1,1,7.0,2,15.4,0,110.1,St.BEq00,0,0,2020,,,,,,,12.0,7.0,36.0,21.0,328.0,0.0,6.0,207.0,WR,2
Deon Yelder,KAN,25,14,1,11,7,36,0,2.0,6,0.9,30,4.3,5.2,0,0.0,0,0.0,0,68.7,YeldDe00,0,0,2020,9.0,1.0,4.0,3.0,50.0,0.0,,,,,,,8.0,260.0,TE,2
Josh Adams,NYJ,24,8,0,8,6,29,0,2.0,5,0.8,24,4.0,0.1,0,0.0,0,0.0,0,79.7,AdamJo03,0,0,2020,,,,,,,14.0,5.0,13.0,7.0,58.0,0.0,8.0,260.0,RB,2
Dez Bryant,BAL,32,6,0,11,6,47,2,3.0,13,2.2,34,5.7,4.7,0,0.0,1,9.1,0,104.9,BryaDe01,0,0,2020,,,,,,,,,,,,,1.0,24.0,WR,10
River Cracraft,SFO,26,9,1,9,6,41,0,2.0,30,5.0,11,1.8,6.4,1,6.0,1,11.1,0,76.6,CracRi00,0,0,2020,,,,,,,8.0,0.0,2.0,1.0,44.0,0.0,8.0,260.0,WR,2
Cethan Carter,CIN,25,15,5,7,5,53,0,3.0,43,8.6,10,2.0,7.7,0,0.0,1,14.3,0,93.2,CartCe00,0,0,2020,15.0,0.0,3.0,2.0,13.0,1.0,,,,,,,8.0,260.0,TE,3
Corey Clement,PHI,26,15,0,6,5,25,0,2.0,-7,-1.4,32,6.4,-1.7,0,0.0,1,16.7,0,84.0,ClemCo00,0,0,2020,,,,,,,11.0,0.0,25.0,22.0,192.0,0.0,8.0,260.0,RB,3
Pharoh Cooper,CAR,25,16,1,8,5,73,0,3.0,38,7.6,35,7.0,9.9,0,0.0,0,0.0,0,92.2,CoopPh00,0,0,2020,13.0,1.0,33.0,25.0,243.0,1.0,,,,,,,4.0,117.0,WR,4
Damien Harris,NWE,23,10,10,7,5,52,0,4.0,-3,-0.6,55,11.0,-0.4,0,0.0,0,0.0,1,53.0,HarrDa06,0,0,2020,,,,,,,16.0,10.0,26.0,21.0,174.0,1.0,3.0,87.0,RB,1
Steven Mitchell,HOU,26,6,1,8,5,60,0,3.0,50,10.0,10,2.0,13.8,0,0.0,0,0.0,0,85.4,MitcSt02,0,0,2020,3.0,1.0,6.0,2.0,37.0,0.0,,,,,,,8.0,260.0,WR,2
Theo Riddick,LVR,29,4,0,6,5,43,0,1.0,10,2.0,33,6.6,1.7,0,0.0,0,0.0,0,96.5,RiddTh00,0,0,2020,,,,,,,14.0,3.0,74.0,61.0,384.0,0.0,6.0,199.0,RB,7
Trayveon Williams,CIN,23,10,0,5,5,30,0,1.0,-11,-2.2,41,8.2,-2.2,2,2.5,0,0.0,0,91.7,WillTr06,0,0,2020,,,,,,,16.0,10.0,14.0,12.0,89.0,1.0,6.0,182.0,RB,1
Josh Malone,NYJ,24,4,0,6,4,16,0,1.0,8,2.0,8,2.0,2.8,0,0.0,1,16.7,0,70.1,MaloJo00,0,0,2020,,,,,,,9.0,0.0,5.0,1.0,12.0,0.0,4.0,128.0,WR,3
Trenton Cannon,CAR,26,14,0,3,3,16,0,1.0,3,1.0,13,4.3,1.0,1,3.0,0,0.0,0,88.9,CannTr00,0,0,2020,,,,,,,16.0,0.0,25.0,17.0,144.0,0.0,6.0,204.0,RB,2
Lil'Jordan Humphrey,NOR,22,3,1,5,3,46,1,3.0,36,12.0,10,3.3,10.6,1,3.0,0,0.0,1,90.4,HumpLi01,0,0,2020,,,,,,,16.0,10.0,14.0,8.0,106.0,1.0,8.0,260.0,WR,1
Alfred Morris,NYG,32,9,0,4,3,19,1,2.0,2,0.7,17,5.7,1.0,1,3.0,0,0.0,0,124.0,MorrAl00,0,0,2020,,,,,,,12.0,1.0,13.0,8.0,73.0,0.0,6.0,173.0,RB,8
Daniel Brown,NYJ,28,16,1,2,2,31,0,2.0,10,5.0,21,10.5,5.0,0,0.0,0,0.0,0,118.7,BrowDa04,0,0,2020,16.0,5.0,11.0,7.0,72.0,1.0,,,,,,,8.0,260.0,TE,5
Jake Butt,DEN,25,5,1,4,2,5,0,0.0,3,1.5,2,1.0,1.8,0,0.0,1,25.0,0,56.2,ButtJa00,0,0,2020,,,,,,,3.0,3.0,13.0,8.0,85.0,0.0,5.0,145.0,TE,2
Chandler Cox,MIA,24,8,3,2,2,9,0,1.0,2,1.0,7,3.5,1.0,0,0.0,0,0.0,0,85.4,CoxxCh01,0,0,2020,,,,,,,16.0,10.0,7.0,5.0,39.0,0.0,7.0,233.0,RB,1
Daurice Fountain,IND,25,5,0,3,2,23,0,2.0,23,11.5,0,0.0,9.3,0,0.0,0,0.0,0,89.6,FounDa00,0,0,2020,,,,,,,,,,,,,5.0,159.0,WR,2
Lamar Miller,CHI,29,1,0,2,2,6,0,1.0,2,1.0,4,2.0,1.0,0,0.0,0,0.0,0,79.2,MillLa01,0,0,2020,,,,,,,14.0,14.0,35.0,25.0,163.0,1.0,4.0,97.0,RB,8
Alex Collins,SEA,26,3,1,2,1,4,0,0.0,3,3.0,1,1.0,5.5,0,0.0,0,0.0,0,56.2,CollAl00,0,0,2020,,,,,,,10.0,10.0,21.0,15.0,105.0,1.0,5.0,171.0,RB,4
Jason Croom,PHI,26,4,0,1,1,3,1,1.0,3,3.0,0,0.0,3.0,0,0.0,0,0.0,0,118.7,CrooJa00,0,0,2020,,,,,,,15.0,3.0,35.0,22.0,259.0,1.0,8.0,260.0,TE,2
Gehrig Dieter,KAN,27,4,0,2,1,10,0,1.0,5,5.0,5,5.0,7.5,0,0.0,0,0.0,0,64.6,DietGe00,0,0,2020,,,,,,,4.0,0.0,3.0,1.0,22.0,0.0,8.0,260.0,WR,2
Brandon Dillon,MIN,23,3,0,1,1,6,0,0.0,5,5.0,1,1.0,5.0,0,0.0,0,0.0,0,91.7,DillBr00,0,0,2020,,,,,,,16.0,10.0,7.0,4.0,49.0,0.0,8.0,260.0,TE,1
D'Onta Foreman,TEN,24,6,0,1,1,5,1,1.0,2,2.0,3,3.0,2.0,0,0.0,0,0.0,0,127.1,ForeDO00,0,0,2020,,,,,,,1.0,0.0,2.0,2.0,28.0,1.0,3.0,89.0,RB,3
D.J. Foster,ARI,27,10,0,1,1,7,0,1.0,4,4.0,3,3.0,4.0,0,0.0,0,0.0,0,95.8,FostD.01,0,0,2020,,,,,,,,,,,,,8.0,260.0,RB,4
Cullen Gillaspia,HOU,25,7,0,1,1,6,0,0.0,-2,-2.0,8,8.0,-2.0,0,0.0,0,0.0,0,91.7,GillCu00,0,0,2020,,,,,,,16.0,10.0,7.0,5.0,39.0,0.0,7.0,220.0,RB,1
Temarrick Hemingway,WAS,27,8,0,2,1,10,0,1.0,4,4.0,6,6.0,3.5,0,0.0,0,0.0,0,64.6,HemiTe00,0,0,2020,,,,,,,,,,,,,6.0,177.0,TE,4
Buddy Howell,HOU,24,14,0,2,1,3,0,0.0,-4,-4.0,7,7.0,9.5,0,0.0,1,50.0,0,56.2,HoweGr00,0,0,2020,,,,,,,,,,,,,8.0,260.0,RB,2
Trenton Irwin,CIN,25,1,0,2,1,5,0,0.0,4,4.0,1,1.0,6.0,0,0.0,1,50.0,0,56.2,IrwiTr00,0,0,2020,,,,,,,16.0,10.0,14.0,8.0,106.0,1.0,8.0,260.0,WR,1
Marcus Kemp,2TM,25,11,0,1,1,11,0,1.0,1,1.0,10,10.0,1.0,0,0.0,0,0.0,0,112.5,KempMa00,0,0,2020,,,,,,,16.0,0.0,2.0,1.0,7.0,0.0,8.0,260.0,WR,3
Keith Kirkwood,CAR,26,1,0,2,1,13,0,0.0,4,4.0,9,9.0,16.0,1,1.0,0,0.0,0,70.8,KirkKe00,0,0,2020,,,,,,,8.0,1.0,21.0,13.0,209.0,2.0,8.0,260.0,WR,2
Tommylee Lewis,NOR,28,5,0,3,1,5,0,0.0,5,5.0,0,0.0,12.7,0,0.0,1,33.3,0,42.4,LewiTo00,0,0,2020,,,,,,,7.0,3.0,3.0,3.0,60.0,1.0,8.0,260.0,WR,4
Craig Reynolds,JAX,24,2,0,1,1,3,0,0.0,1,1.0,2,2.0,1.0,0,0.0,0,0.0,0,79.2,ReynCr00,0,0,2020,,,,,,,16.0,10.0,10.0,7.0,57.0,0.0,8.0,260.0,RB,1
Jaleel Scott,NYJ,25,1,1,1,1,16,0,1.0,13,13.0,3,3.0,13.0,0,0.0,0,0.0,0,118.7,ScotJa02,0,0,2020,3.0,0.0,3.0,1.0,6.0,0.0,,,,,,,4.0,132.0,WR,2
Austin Walter,SFO,24,4,0,1,1,27,0,1.0,-6,-6.0,33,33.0,-6.0,0,0.0,0,0.0,0,118.7,WaltAu00,0,0,2020,,,,,,,16.0,10.0,10.0,7.0,57.0,0.0,8.0,260.0,RB,1
